2019-02-19 12:58:01.391 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppProductResponse
2019-02-19 12:58:01.391 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.DdUserJsonResponse
2019-02-19 12:58:01.392 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.ThirdAuthResponse
2019-02-19 12:58:01.393 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.BehaviorHeader
2019-02-19 12:58:01.393 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppManageRequest$Option$Param
2019-02-19 12:58:01.394 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.ChannelMessageResponse
2019-02-19 12:58:01.394 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppCrashRequest$QueryList
2019-02-19 12:58:01.395 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppManageRequest$Create$Param
2019-02-19 12:58:01.395 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.DongConfirmListResponse
2019-02-19 12:58:01.395 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.ChannelMessageRequest$Get$Param
2019-02-19 12:58:01.395 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppPublishRequest$QueryList
2019-02-19 12:58:01.396 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.FeedBackListResponse
2019-02-19 12:58:01.396 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppPublishRequest$DownloadRequest
2019-02-19 12:58:01.397 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.ThirdAuthRequest$Auth$Param
2019-02-19 12:58:01.397 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.FeedBackRequest$Create
